,budget,cast,keywords,production_method,franchise,creative_type,genre,production_companies
Oz the Great and Powerful(2013),200000000.0,19.491742057804604,19.238485003034263,19.141718895390603,18.965875693125682,18.77027429612816,19.26045758445077,19.771490141272608
X-Men: Days of Future Past(2014),200000000.0,19.77672866845636,19.285806851966356,18.275310324703984,19.94781359680506,19.860839450804544,18.97985589795907,19.731222970709915
The Amazing Spider-Man 2(2014),200000000.0,19.716430128307966,19.347967459622364,18.275310324703984,20.474946218004487,19.860839450804544,18.97985589795907,20.222776876389098
Cars 2(2011),200000000.0,20.104169448867992,19.08414173287081,19.524538422716148,20.002900759736686,19.19151692521183,19.26045758445077,20.01986657980022
Tron: Legacy(2010),200000000.0,19.345257809687176,19.318170940957486,18.275310324703984,19.13031352785067,18.873247430393473,19.26045758445077,19.758072303309614
2012(2009),200000000.0,19.69524170856341,19.453828330837304,18.275310324703984,18.1041296577019,18.873247430393473,18.97985589795907,19.38357275855335
Terminator Salvation(2009),200000000.0,19.376758666730396,19.176706732736296,18.275310324703984,19.69951538714007,18.873247430393473,18.97985589795907,18.959534580213194
Green Lantern(2011),200000000.0,19.221112715675996,19.48622310275987,19.141718895390603,18.1041296577019,19.860839450804544,18.97985589795907,19.159109982872856
Prince of Persia: Sands of Time(2010),200000000.0,19.429403964452224,19.37949157919043,18.275310324703984,18.1041296577019,18.77027429612816,18.97985589795907,19.743338399063433
Transformers: Dark of the Moon(2011),195000000.0,19.888173068466727,19.43691076683449,19.141718895390603,20.570295316231867,18.873247430393473,18.97985589795907,19.733562991626343
The Mummy(2017),195000000.0,19.565987677197203,19.447279314025828,18.275310324703984,19.73717020048539,18.16216731290656,19.26045758445077,19.394695370673794
Jack the Giant Slayer(2013),195000000.0,19.389171244039982,19.437143287178362,19.141718895390603,18.1041296577019,18.77027429612816,19.26045758445077,19.29116408444541
Furious 7(2015),190000000.0,20.023882327032336,19.279550809453866,18.275310324703984,20.268344753946597,18.01463592913939,18.97985589795907,19.921408771325282
Star Trek Into Darkness(2013),190000000.0,19.752067836481302,19.44172370464423,18.275310324703984,18.968878565330364,18.873247430393473,19.26045758445077,19.690207267225006
World War Z(2013),190000000.0,19.494392757445368,18.841054129908894,18.275310324703984,19.995931141131173,18.873247430393473,18.97985589795907,19.54826213380249
The Great Gatsby(2013),190000000.0,19.245055614378884,18.772083558867447,18.275310324703984,18.1041296577019,18.16216731290656,17.687104458583065,19.256625206372906
Disney’s A Christmas Carol(2009),190000000.0,19.479682824153713,19.05125166749791,19.524538422716148,18.1041296577019,18.77027429612816,17.687104458583065,19.46785563560386
Pacific Rim(2013),190000000.0,19.298463340238044,19.482904295182912,18.275310324703984,19.62034516063363,18.873247430393473,18.97985589795907,19.368169477212774
